age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
30,unemployed,married,primary,no,1787,no,no,cellular,19,10,79,1,-1,0,unknown,no
33,services,married,secondary,no,4789,yes,yes,cellular,11,5,220,1,339,4,failure,no
35,management,single,tertiary,no,1350,yes,no,cellular,16,4,185,1,330,1,failure,no
30,management,married,tertiary,no,1476,yes,yes,unknown,3,6,199,4,-1,0,unknown,no
59,blue-collar,married,secondary,no,0,yes,no,unknown,5,5,226,1,-1,0,unknown,no
35,management,single,tertiary,no,747,no,no,cellular,23,2,141,2,176,3,failure,no
36,self-employed,married,tertiary,no,307,yes,no,cellular,14,5,341,1,330,2,other,no
39,technician,married,secondary,no,147,yes,no,cellular,6,5,151,2,-1,0,unknown,no
41,entrepreneur,married,tertiary,no,221,yes,no,unknown,14,5,57,2,-1,0,unknown,no
43,services,married,primary,no,-88,yes,yes,cellular,17,4,313,1,147,2,failure,no
39,services,married,secondary,no,9374,yes,no,unknown,20,5,273,1,-1,0,unknown,no
43,admin.,married,secondary,no,264,yes,no,cellular,17,4,113,2,-1,0,unknown,no
36,technician,married,tertiary,no,1109,no,no,cellular,13,8,328,2,-1,0,unknown,no
20,student,single,secondary,no,502,no,no,cellular,30,4,261,1,-1,0,unknown,yes
31,blue-collar,married,secondary,no,360,yes,yes,cellular,29,1,89,1,241,1,failure,no
40,management,married,tertiary,no,194,no,yes,cellular,29,8,189,2,-1,0,unknown,no
56,technician,married,secondary,no,4073,no,no,cellular,27,8,239,5,-1,0,unknown,no
37,admin.,single,tertiary,no,2317,yes,no,cellular,20,4,114,1,152,2,failure,no
25,blue-collar,single,primary,no,-221,yes,no,unknown,23,5,250,1,-1,0,unknown,no
31,services,married,secondary,no,132,no,no,cellular,7,7,148,1,152,1,other,no
38,management,divorced,unknown,no,0,yes,no,cellular,18,11,96,2,-1,0,unknown,no
42,management,divorced,tertiary,no,16,no,no,cellular,19,11,140,3,-1,0,unknown,no
44,services,single,secondary,no,106,no,no,unknown,12,6,109,2,-1,0,unknown,no
44,entrepreneur,married,secondary,no,93,no,no,cellular,7,7,125,2,-1,0,unknown,no
26,housemaid,married,tertiary,no,543,no,no,cellular,30,1,169,3,-1,0,unknown,no
41,management,married,tertiary,no,5883,no,no,cellular,20,11,182,2,-1,0,unknown,no
55,blue-collar,married,primary,no,627,yes,no,unknown,5,5,247,1,-1,0,unknown,no
67,retired,married,unknown,no,696,no,no,telephone,17,8,119,1,105,2,failure,no
56,self-employed,married,secondary,no,784,no,yes,cellular,30,7,149,2,-1,0,unknown,no
53,admin.,married,secondary,no,105,no,yes,cellular,21,8,74,2,-1,0,unknown,no
68,retired,divorced,secondary,no,4189,no,no,telephone,14,7,897,2,-1,0,unknown,yes
31,technician,married,secondary,no,171,no,no,cellular,27,8,81,3,-1,0,unknown,no
59,management,married,secondary,no,42,no,no,cellular,21,11,40,1,-1,0,unknown,no
32,management,single,tertiary,no,2536,yes,no,cellular,26,8,958,6,-1,0,unknown,yes
49,technician,married,tertiary,no,1235,no,no,cellular,13,8,354,3,-1,0,unknown,yes
42,admin.,divorced,secondary,no,1811,yes,no,unknown,14,5,150,1,-1,0,unknown,no
78,retired,divorced,primary,no,229,no,no,telephone,22,10,97,1,-1,0,unknown,yes
32,blue-collar,married,secondary,no,2089,yes,no,cellular,14,11,132,1,-1,0,unknown,yes
33,management,married,secondary,no,3935,yes,no,cellular,6,5,765,1,342,2,failure,yes
23,services,single,tertiary,no,363,yes,no,unknown,30,5,16,18,-1,0,unknown,no
38,management,single,tertiary,no,11971,yes,no,unknown,17,11,609,2,101,3,failure,no
36,management,single,tertiary,no,553,no,no,cellular,11,8,106,2,-1,0,unknown,no
52,blue-collar,married,secondary,no,1117,yes,no,cellular,13,5,365,1,-1,0,unknown,no
32,technician,married,tertiary,no,396,yes,no,cellular,13,5,205,3,-1,0,unknown,no
32,technician,single,tertiary,no,2204,yes,no,cellular,21,11,11,4,-1,0,unknown,no
34,management,single,tertiary,no,872,yes,no,unknown,7,5,105,2,-1,0,unknown,no
55,blue-collar,married,primary,no,145,no,no,telephone,2,2,59,3,5,2,other,no
26,blue-collar,married,primary,no,0,yes,no,unknown,21,5,425,1,-1,0,unknown,no
32,entrepreneur,single,primary,yes,-849,yes,yes,cellular,4,2,204,1,-1,0,unknown,no
61,admin.,married,unknown,no,4629,yes,no,cellular,27,1,181,1,92,1,success,yes
45,blue-collar,divorced,primary,no,844,no,no,unknown,5,6,1018,3,-1,0,unknown,yes
37,technician,single,secondary,no,228,yes,no,cellular,20,8,1740,2,-1,0,unknown,no
38,technician,single,secondary,no,50,no,no,cellular,29,8,98,2,-1,0,unknown,no
34,technician,married,tertiary,no,1539,yes,no,cellular,15,6,441,1,56,1,other,yes
53,blue-collar,married,secondary,no,2231,yes,no,cellular,14,7,272,3,-1,0,unknown,no
48,admin.,married,secondary,no,3064,yes,no,telephone,15,7,159,2,-1,0,unknown,no
57,management,married,secondary,no,82,no,yes,telephone,4,2,140,1,-1,0,unknown,no
33,self-employed,single,tertiary,no,2155,no,no,cellular,17,11,295,1,-1,0,unknown,no
36,retired,single,secondary,no,101,yes,yes,unknown,26,5,314,1,-1,0,unknown,no
54,technician,divorced,secondary,no,784,yes,yes,unknown,15,5,579,1,-1,0,unknown,no
41,blue-collar,married,primary,no,-516,no,yes,telephone,8,7,554,3,-1,0,unknown,no
63,retired,married,secondary,no,415,yes,no,cellular,7,10,323,1,-1,0,unknown,no
48,management,married,tertiary,no,5887,no,no,cellular,13,8,227,2,-1,0,unknown,no
48,services,married,secondary,no,1355,no,no,cellular,4,7,134,2,-1,0,unknown,no
56,admin.,married,secondary,no,16873,no,no,cellular,7,10,223,1,-1,0,unknown,no
51,blue-collar,divorced,secondary,no,203,yes,no,cellular,8,5,134,1,170,5,failure,no
31,services,married,secondary,no,338,yes,no,cellular,28,1,155,1,-1,0,unknown,no
29,technician,married,secondary,no,444,yes,no,cellular,21,7,130,4,-1,0,unknown,no
